Head Pose,Left Arm Pose,Right Arm Pose
"[[0.9993872642828137, 0.03499984454730885, 0.00031298221954237414, -0.000821953481654845], [-0.03475839186092482, 0.9913619748283854, 0.12646477778380563, 1.5832178920960442], [0.004115968656764373, -0.12639816741520724, 0.9919710763459327, -0.017205802761191942], [0.0, 0.0, 0.0, 1.0]]","[[0.66619473695755, -0.7302314043045044, -0.1514807790517807, -0.23596736788749695], [0.6482690572738647, 0.6674349308013916, -0.36643919348716736, 1.2808456420898438], [0.36868903040885925, 0.14591948688030243, 0.9180282354354858, -0.21227392554283142], [0.0, 0.0, 0.0, 1.0]]","[[0.4969606399536133, 0.8640350103378296, -0.08045816421508789, 0.14611423015594482], [-0.47652846574783325, 0.19423799216747284, -0.8574333786964417, 1.2651394605636597], [-0.7252245545387268, 0.4644511938095093, 0.508266031742096, -0.19437146186828613], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9993848800948811, 0.03506280187853205, 0.0006407496354814505, -0.000840355805762044], [-0.034865877736727155, 0.9914783237038585, 0.12551954226763434, 1.5831072841425005], [0.0037657772724788634, -0.12546467942921927, 0.9920909406805065, -0.01740872253282756], [0.0, 0.0, 0.0, 1.0]]","[[0.6687402129173279, -0.7264534831047058, -0.15827764570713043, -0.23472462594509125], [0.6425371170043945, 0.6717926263809204, -0.3685656487941742, 1.2814550399780273], [0.37407559156417847, 0.1447753757238388, 0.9160281419754028, -0.21274599432945251], [0.0, 0.0, 0.0, 1.0]]","[[0.49291229248046875, 0.8663133382797241, -0.08086240291595459, 0.14598572254180908], [-0.4811190664768219, 0.1939455270767212, -0.8549324870109558, 1.2649751901626587], [-0.7249565124511719, 0.4603112041950226, 0.5123980045318604, -0.19520193338394165], [0.0, 0.0, 0.0, 1.0]]"
"[[0.999393463181969, 0.03481213882885859, 0.0008750543964701962, -0.0009359438900610035], [-0.03464741870440561, 0.9915154575540007, 0.12528634048424447, 1.583141969886599], [0.0034938553034003237, -0.1252406688836984, 0.9921202659897949, -0.01733944908605985], [0.0, 0.0, 0.0, 1.0]]","[[0.6687402129173279, -0.7264534831047058, -0.15827764570713043, -0.23472462594509125], [0.6425371170043945, 0.6717926263809204, -0.3685656487941742, 1.2814550399780273], [0.37407559156417847, 0.1447753757238388, 0.9160281419754028, -0.21274599432945251], [0.0, 0.0, 0.0, 1.0]]","[[0.49291229248046875, 0.8663133382797241, -0.08086240291595459, 0.14598572254180908], [-0.4811190664768219, 0.1939455270767212, -0.8549324870109558, 1.2649751901626587], [-0.7249565124511719, 0.4603112041950226, 0.5123980045318604, -0.19520193338394165], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994050860346049, 0.03447217849467697, 0.0010741188718887682, -0.0009603835929968148], [-0.034334834838166794, 0.9915172456635117, 0.12535828263356089, 1.5831577014895504], [0.0032563656398045546, -0.1253205844681084, 0.9921109677481005, -0.01727278324981996], [0.0, 0.0, 0.0, 1.0]]","[[0.6687402129173279, -0.7264534831047058, -0.15827764570713043, -0.23472462594509125], [0.6425371170043945, 0.6717926263809204, -0.3685656487941742, 1.2814550399780273], [0.37407559156417847, 0.1447753757238388, 0.9160281419754028, -0.21274599432945251], [0.0, 0.0, 0.0, 1.0]]","[[0.49291229248046875, 0.8663133382797241, -0.08086240291595459, 0.14598572254180908], [-0.4811190664768219, 0.1939455270767212, -0.8549324870109558, 1.2649751901626587], [-0.7249565124511719, 0.4603112041950226, 0.5123980045318604, -0.19520193338394165], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994438886176371, 0.03331969538155963, 0.0013129474794687668, -0.001466126588655676], [-0.033221506984792516, 0.9915606377343589, 0.12531474024003783, 1.5831878588183224], [0.0028735820636348755, -0.12528866738134592, 0.9921161535037794, -0.017475552012017746], [0.0, 0.0, 0.0, 1.0]]","[[0.6853868365287781, -0.710718035697937, -0.15850774943828583, -0.23073923587799072], [0.631747305393219, 0.688616931438446, -0.35595229268074036, 1.2860791683197021], [0.36213284730911255, 0.1438281387090683, 0.9209632277488708, -0.2149575650691986], [0.0, 0.0, 0.0, 1.0]]","[[0.4878489077091217, 0.8701802492141724, -0.06920749694108963, 0.14557981491088867], [-0.4740082323551178, 0.19749757647514343, -0.8580855131149292, 1.2679660320281982], [-0.7330208420753479, 0.45142096281051636, 0.5088216662406921, -0.1989545226097107], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994556903455939, 0.03296476113059852, 0.001297242887553155, -0.0016479407367783715], [-0.03286772710821302, 0.9915866261373418, 0.125202347006351, 1.5831016834820804], [0.0028409368305023306, -0.1251768279413878, 0.9921303982281117, -0.017592743353412117], [0.0, 0.0, 0.0, 1.0]]","[[0.6853868365287781, -0.710718035697937, -0.15850774943828583, -0.23073923587799072], [0.631747305393219, 0.688616931438446, -0.35595229268074036, 1.2860791683197021], [0.36213284730911255, 0.1438281387090683, 0.9209632277488708, -0.2149575650691986], [0.0, 0.0, 0.0, 1.0]]","[[0.4878489077091217, 0.8701802492141724, -0.06920749694108963, 0.14557981491088867], [-0.4740082323551178, 0.19749757647514343, -0.8580855131149292, 1.2679660320281982], [-0.7330208420753479, 0.45142096281051636, 0.5088216662406921, -0.1989545226097107], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994767308046731, 0.03230631291978495, 0.0016182383699042747, -0.0020240921564384623], [-0.032254346309970476, 0.9915913944861279, 0.12532414906748263, 1.583135444981858], [0.002444129990383797, -0.125310759608665, 0.9921145433961022, -0.017307441090950827], [0.0, 0.0, 0.0, 1.0]]","[[0.695040225982666, -0.7000219821929932, -0.16397666931152344, -0.22856178879737854], [0.621207594871521, 0.6995265483856201, -0.3532191216945648, 1.2899194955825806], [0.36196717619895935, 0.14363792538642883, 0.9210580587387085, -0.2181774526834488], [0.0, 0.0, 0.0, 1.0]]","[[0.4825984835624695, 0.8746861815452576, -0.04497359320521355, 0.14585021138191223], [-0.460313618183136, 0.20961813628673553, -0.8626536726951599, 1.2718737125396729], [-0.745124101638794, 0.4370172321796417, 0.5037915110588074, -0.202503964304924], [0.0, 0.0, 0.0, 1.0]]"
"[[0.999504804595616, 0.03137817929035682, 0.0023463877853837855, -0.002518643617797607], [-0.0314244930958126, 0.9915950896670213, 0.12550571731247193, 1.5831608293603243], [0.001611474273250724, -0.12551730700813046, 0.992090105794994, -0.016904020092227655], [0.0, 0.0, 0.0, 1.0]]","[[0.7084745168685913, -0.6845706701278687, -0.17154233157634735, -0.2253141850233078], [0.6069043278694153, 0.7150400280952454, -0.34696507453918457, 1.297104001045227], [0.3601817786693573, 0.14170609414577484, 0.9220566153526306, -0.22227683663368225], [0.0, 0.0, 0.0, 1.0]]","[[0.5074923038482666, 0.8616193532943726, -0.007962922565639019, 0.14622902870178223], [-0.4299517869949341, 0.24521063268184662, -0.868914783000946, 1.2790066003799438], [-0.7467213869094849, 0.4443911612033844, 0.4948974549770355, -0.20765741169452667], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9995191693364677, 0.0308965893517381, 0.0026031383879233133, -0.0026732315743759416], [-0.030979065032755753, 0.9916210766199531, 0.12541117920481298, 1.5831778795324714], [0.0012934507669631352, -0.12543152616418274, 0.9921014313272883, -0.01676191421206597], [0.0, 0.0, 0.0, 1.0]]","[[0.7084745168685913, -0.6845706701278687, -0.17154233157634735, -0.2253141850233078], [0.6069043278694153, 0.7150400280952454, -0.34696507453918457, 1.297104001045227], [0.3601817786693573, 0.14170609414577484, 0.9220566153526306, -0.22227683663368225], [0.0, 0.0, 0.0, 1.0]]","[[0.5074923038482666, 0.8616193532943726, -0.007962922565639019, 0.14622902870178223], [-0.4299517869949341, 0.24521063268184662, -0.868914783000946, 1.2790066003799438], [-0.7467213869094849, 0.4443911612033844, 0.4948974549770355, -0.20765741169452667], [0.0, 0.0, 0.0, 1.0]]"
"[[0.999539315704254, 0.030215159180471685, 0.0028714723632538713, -0.0028486128115086094], [-0.030337104451945054, 0.9916978480486057, 0.12496029006486241, 1.5832084587029331], [0.0009280621054450078, -0.12498983574862171, 0.9921575782593917, -0.01634761372205772], [0.0, 0.0, 0.0, 1.0]]","[[0.7039203643798828, -0.6821305751800537, -0.19797438383102417, -0.22068306803703308], [0.6035972833633423, 0.7214049100875854, -0.3394777774810791, 1.3076092004776], [0.3743879199028015, 0.11946845799684525, 0.9195438623428345, -0.2273591160774231], [0.0, 0.0, 0.0, 1.0]]","[[0.5342562198638916, 0.8451977968215942, 0.0145136509090662, 0.14634275436401367], [-0.42723220586776733, 0.2847925126552582, -0.858117401599884, 1.287522554397583], [-0.7294125556945801, 0.4522537589073181, 0.513248085975647, -0.2132871448993683], [0.0, 0.0, 0.0, 1.0]]"
